Company Name,Industry,Sub-Industry / Activity,Confidence,Source,Rows in source list
AL KHAIR AUTO SPARE PARTS CO. LLC,Automotive Parts Trading,Vehicle spare parts & accessories,Medium,Name-derived,3
AL KHASHAB BUILDING MATERIALS COMPANY SOLE PROPRIETORSHIP LLC,Building Materials Trading,Building materials & sanitaryware,Medium,Name-derived,2
AL KHAT AL FIZI TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
AL KHATTAL & MOHIDEEN TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
AL KILANI TRADING CO.,Trading & Distribution,General trading,Low,Name-derived,1
AL KILANI TRADING EST.,Trading & Distribution,General trading,Low,Name-derived,5
AL LOKRIT INTERNATIONAL LLC,Florist & Gifts,"Cut flowers, plants, floral accessories & planters wholesale",High,Web-verified,4
AL MADINA DEV. & SUPPLY LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,5
AL MAGD CENTER PHARMACY L.L.C- SOLE PROPRIETORSHIP L.L.C,Pharmacy Retail,Community pharmacy,High,Name-derived,1
AL MAHARA TRADING FZCO,Trading & Distribution,General trading & wholesale,Medium,Name-derived,2
AL MAKAMIN COMMERCIAL PROJECTS LLC,Oil & Gas Services,Oilfield support & projects,Medium,Name-derived,1
AL MANZA TRADING,Trading & Distribution,General trading,Low,Name-derived,1
AL MASOOD BERGUM,Industrial Equipment,Industrial products & equipment,Low,Name-derived,1
AL MESHARI HEAVY EQUIPMENT TRADING,Heavy Equipment,Heavy equipment trading,High,Name-derived,3
AL MOKHTAR TOBACCO MANUFACTURING & TRADING FZ LLC,Manufacturing - Tobacco,Tobacco manufacturing & trading,High,Name-derived,4
AL MOSTAJED TECHNOLOGIES CO. L.L.C,Technology,Technology products & solutions,Medium,Name-derived,4
AL MOSTAQBAL MEDICAL STORE L.L.C,Medical Supplies,Medical supplies,High,Name-derived,1
AL MUBDEE SCAFFOLDING LLC,Construction Services,Scaffolding,High,Name-derived,1
AL MUQUARRAM AUTO SPARE PARTS TRADING L.L.C,Automotive Parts Trading,Vehicle spare parts & accessories,Medium,Name-derived,3
AL MURSHIDI TRADING L.L.C.,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
AL NAHDA INTERNATIONAL FZCO,Chemicals Distribution,"Drilling-mud, detergent & personal care chemicals distribution",High,Web-verified,3
AL NASAMAT GENERAL TRADING CO LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,3
AL NASEEM INTERNATIONAL TRAD & CONT CO. LLC,Construction & Contracting,Building & civil contracting,Medium,Name-derived,1
AL NASR CONSTRUCTION DYNAMICS,Construction & Contracting,Contracting,High,Name-derived,1
AL NOUF AUTO TYRES & ACCESSORIES,Automotive Parts Trading,Tyres & accessories,High,Name-derived,1
AL OTBI GENERAL CONTRACTING & MAINTENANCE EST,Construction & Contracting,Building & civil contracting,Medium,Name-derived,1
AL QOTUF AL MOBRAKA DATES FACTORY LLC,Manufacturing - Food,Dates processing & packing,High,Name-derived,4
AL RAFAH FOODSTUFF TRADING LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived,1
AL RAHMAH AUTO SPARE PARTS L. L. C,Automotive Parts Trading,Vehicle spare parts & accessories,Medium,Name-derived,3
AL RAS BUILDING MATERIAL SANITARYWARE & ELECTRICAL CO LLC,Building Materials Trading,Building materials & sanitaryware,Medium,Name-derived,1
AL RAS STEEL TRADING FZCO,Steel & Metals Trading,Steel trading,High,Name-derived,1
AL RAWABIT INTERNATIONAL L.L.C,HR & Recruitment,Inferred from sibling entity 'Al Rawabit International Recruitment LLC',Medium,Web-verified,4
AL RAWABIT INTERNATIONAL RECRUITMENT L.L.C.,HR & Recruitment,Recruitment services,High,Name-derived,1
AL RAWDAH GREEN SWEET WATER,Manufacturing - Food & Beverage,Drinking water supply,High,Name-derived,1
AL RAYAN CONTRACTING LLC,Construction & Contracting,Building & civil contracting,Medium,Name-derived,1
AL REEM HOSPICO CO LLC,Medical Supplies,Hospital supplies,Medium,Name-derived,2
AL RIQABAT TRADING ESTABLISHMENT,Trading & Distribution,General trading,Low,Name-derived,1
AL ROSTAMANI GROUP,Diversified Group,"Automotive, construction, retail & finance",High,Name-derived,1
AL ROWAD TRADING CO. LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,2
AL RUMOOZ TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,3
AL SADAQA FOODSTUFF TRADING CO L.L.C,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived,1
AL SALAAM LIMOUSINE L.L.C,Passenger Transport,Limousine & chauffeur services,High,Name-derived,4
AL SAMRA ELECTRICAL & BUILDING MATERIALS LLC,Building Materials Trading,Building materials & sanitaryware,Medium,Name-derived,4
AL SAMRA ELECTRICALS & SANITARY EQUPT. TRD.CO.LLC,Electrical Trading,Electrical products & services,Medium,Name-derived,2
AL SAMRA ELECTRONIC & LIGHTS LLC,Electrical Trading,Electrical products & services,Medium,Name-derived,2
AL SAMRA TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
AL SHAALI MOTO TRADING LLC,Automotive Retail,Motorcycle & marine trading,High,Name-derived,2
AL SHAFAQ AUTO SPARE PARTS TRADING LLC,Automotive Parts Trading,Vehicle spare parts & accessories,Medium,Name-derived,3
AL SHAMSI FOODSTUFF EST.,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived,2
AL SHARQ PLAS LLC,Manufacturing - Plastics,Plastic products,High,Name-derived,4
AL SOROOR GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
AL SUHAIL SHIP MAINTENANCE SERVICES,Marine Services,Ship maintenance,High,Name-derived,1
AL SULAIHI BUILDING MATERIAL TRADING CO. LLC,Building Materials Trading,Building materials & sanitaryware,Medium,Name-derived,3
AL SWAYEH GROUP OF COMPANIES,Diversified Group,Diversified group,Medium,Name-derived,1
AL TAMAM FOODSTUFF TRADING LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived,4
AL TAMEEM CARS & BUSES RENTAL LLC,Passenger Transport,Vehicle & bus rental,High,Name-derived,1
AL TANNAN GENERAL TRADING L.L.C.,Trading & Distribution,General trading & wholesale,Medium,Name-derived,4
AL TARAF TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,4
AL TILAL TRANSPORT LLC,Freight Transport,Road transport,High,Name-derived,2
AL TOMOH AL MUTAMAYIZ MEDICAL CENTER LLC,Healthcare,Medical centre,High,Name-derived,1
AL TOOR TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
AL WAHA MECHANICAL INDUSTRIES LLC,Manufacturing - Machinery,Mechanical products,Medium,Name-derived,1
AL YANBOU FOOD INDUSTRIES CO LLC,Manufacturing - Food,Food production,High,Name-derived,2
AL YAQOOT AL AHMER HARDWARE L.L.C,Industrial Distribution,Industrial products distribution,Medium,Name-derived,1
ALAHLIYA ALAIN PHARMACY,Pharmacy Retail,Community pharmacy,High,Name-derived,1
ALAM SUPER MARKET LLC,Retail,Supermarket,High,Name-derived,4
ALBWARDY ENGINEERING ENTERPRISES EST.,Engineering Services,Engineering & contracting,High,Name-derived,6
ALBWARDY ENGINEERING ENTERPRISES L.L.C,Engineering Services,Engineering & contracting,High,Name-derived,1
ALBWARDY ENGINEERING ENTERPRISES LLC,Engineering Services,Engineering & contracting,High,Name-derived,1
ALCON CONCRETE PRODUCTS L.L.C,Manufacturing - Building Products,Precast concrete products,High,Name-derived,2
ALEX RENNER MOTORS GARAGE LLC,Automotive Services,Vehicle repair garage,High,Name-derived,1
ALFAONE TRADING L.L.C.,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
ALHASHIMYA GENERAL TRADING,Trading & Distribution,General trading & wholesale,Medium,Name-derived,6
ALI AHMED KHALFAN AUTO SPARE PARTS,Automotive Parts Trading,Vehicle spare parts & accessories,Medium,Name-derived,3
ALI GHOLAMI FOOD INDUSTRIES LLC,Manufacturing - Food,Food production,High,Name-derived,1
ALI GHOLAMI VEGETABLES & FRUITS  L.L.C,Fresh Produce & Grocery,Fruits & vegetables wholesale,Medium,Name-derived,6
ALI NAJAFI GENERAL TRADING CO. L.L.C,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
ALIF AUTO CARE LLC,Automotive Services,Vehicle care & servicing,High,Name-derived,1
ALINCO PIPE SUPPLY FZE,Industrial Distribution,Pipes & fittings supply,High,Name-derived,1
ALKHOORY CAPITAL INVESTMENT LLC,Investment & Holding,Investment holding,High,Name-derived,1
ALL FIT LIFESTYLE COACHING CO LLC,Health & Fitness,Fitness coaching,High,Name-derived,1
ALLIANCE AUTO PARTS LLC,Automotive Parts Trading,Vehicle spare parts & accessories,Medium,Name-derived,1
ALLIANCE MECHANICAL EQUIPMENT,Industrial Equipment,Mechanical equipment supply,High,Name-derived,2
ALLIED MOTORS TRADING FZCO,Automotive Retail,Vehicle trading,High,Name-derived,1
ALLIED MOTORS TRADING FZCO (BRANCH),Automotive Retail,Vehicle trading,High,Name-derived,1
ALPHA METAL CONST. IND. LLC,Manufacturing - Steel Fabrication,Metal construction industries,High,Name-derived,4
ALRABYA LEBANESE FACTORY CHEESE MANUFACTURING LLC (SOLE PROPRIETORSHIP),Manufacturing - Food,Cheese & dairy production,High,Name-derived,1
ALWATHBA INVESTMENT LLC,Investment & Holding,Investment company,Medium,Name-derived,1
AMARA FLOWERS LLC,Florist & Gifts,Flowers retail,High,Name-derived,1
AMBASSADOR AUTO SPARE PARTS TRADING,Automotive Parts Trading,Vehicle spare parts & accessories,Medium,Name-derived,2
AMC INTERNATIONAL DMCC,Distribution,FMCG sourcing & distribution into West Africa,High,Web-verified,6
AMIT INTERNATIONAL GROUP FZE,Trading & Distribution,International trading,Medium,Name-derived,4
AMIT RETAIL LLC,Retail,Retail operations,Medium,Name-derived,16
AMPS MIDDLE EAST FZ-LLC,Industrial Automation,Automation & power systems,Medium,Name-derived,1
AMRIT KOSH GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,4
ANAH LLC,Unclassified,Insufficient information in name,Low,Name-derived,1
ANC VEGETABLE & FRUITS TRADING LLC,Fresh Produce & Grocery,Fruits & vegetables wholesale,Medium,Name-derived,1
ANNACHAMB MOHIDEEN GENERAL TRADING L L C,Trading & Distribution,General trading & wholesale,Medium,Name-derived,8
ANOO GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
ANSAR MALL,Retail,Hypermarket / shopping mall retail,High,Name-derived,11
APEX ALWATANIAH CATERING SERVICE -SOLE PROPRIETORSHIP LLC,Food Service,Contract catering,High,Name-derived,1
APEX HOLDING LLC,Investment & Holding,Holding company,Medium,Name-derived,3
APEX SCAFFOLDING LLC,Construction Services,Scaffolding supply & erection,High,Name-derived,5
APJ MANAGEMENT,Professional Services,Business management services,Low,Name-derived,7
APPOLO GULF GENERAL TRADING L.L.C,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
APTVEL GLOBAL INFORMATION TECHNOLOGIES LLC,IT Services,IT solutions & services,High,Name-derived,1
AQUAPLEX FZE,Manufacturing - Plastics,Composite / plastic water tanks,High,Name-derived,4
AQUAPLEX TRADING WLL,Building Materials Trading,Water tanks & plumbing products,High,Name-derived,4
AQUAPOWER CONTRACTING LLC.,MEP & Electromechanical,Water / power contracting,High,Name-derived,11
AQUATECH LANDSCAPE & CIVIL SERVICES,Landscaping,Landscape & civil works,High,Name-derived,1
ARAB ITALIAN MARBLES,Building Materials Trading,Marble & natural stone,High,Name-derived,1
ARAB RAYA COMPANY,Unclassified,No industry signal in the name,Low,Name-derived,3
ARABIA ONE INTERNATIONAL GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,1
ARABIAN COAST CONTRACTING LLC,Construction & Contracting,General contracting,High,Name-derived,4
ARABIAN INDUSTRIAL GASES CO.,Manufacturing - Chemicals,Industrial gases,High,Name-derived,1
ARCOMA COMMERCIAL AGENCIES LLC,Trading & Distribution,Commercial agencies & distribution,Medium,Name-derived,1
ARDH AL RABIEE LLC,Unclassified,Searched - no public business description found,Low,Web-verified,1
ARIANA WORLD WIDE SHIPPING LLC,Shipping,Shipping services,High,Name-derived,1
ARJOMANDI (MARHABA MTA GENERAL TRADING LLC),Trading & Distribution,General trading & wholesale,Medium,Name-derived,4
ARKAN SHADE SYSTEMS LLC,Manufacturing - Building Products,Shade structures & tensile,High,Name-derived,4
ARPAN INTERNATIONAL FZC,Trading & Distribution,General trading,Low,Name-derived,2
ARPE LUBRICANTS,Manufacturing - Chemicals,Lubricants & oils,High,Name-derived,1
ART PALACE ADVERTISING AND PRODUCTION,Marketing Services,Advertising & production,High,Name-derived,2
ARTS AND GEMS L. L. C.,Jewellery & Precious Metals,Gems & jewellery,High,Name-derived,2
ASHBILIA ALUMINIUM AND GLASS LLC,Manufacturing - Building Products,Aluminium & glass works,High,Name-derived,3
ASHLEY EMIRATES FURNITURE L.L.C,Retail,Furniture retail (Ashley franchise),High,Name-derived,3
ASSA ABLOY ENTRANCE SYSTEMS LLC,Manufacturing - Building Products,Automatic doors & entrance systems,High,Name-derived,1
ASSA ABLOY Entrance Systems LLC,Manufacturing - Building Products,Automatic doors & entrance systems,High,Name-derived,2
ASSA ABLOY SECURITY SOLUTIONS METAL INDUSTRIES FACTORY LLC,Manufacturing - Building Products,Security doors & locking hardware,High,Name-derived,2
ASSA ABLOY SECURITY SOLUTIONS MIDDLE EAST,Manufacturing - Building Products,Locks & access control hardware,High,Name-derived,5
ASTON PHARMACY LLC,Pharmacy Retail,Community pharmacy,High,Name-derived,2
ASTON REAL ESTATE LLC,Real Estate,Real estate brokerage,High,Name-derived,1
ATAD INTERNATIONAL GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived,4
ATGC ELECTROMECHANICAL – SOLE PROPRIETORSHIP L.L.C.,MEP & Electromechanical,MEP contracting & services,Medium,Name-derived,1
ATGC TRANSPORT & GENERAL CONTRACTING LLC,Freight Transport,Road transport & haulage,Medium,Name-derived,2
ATOP COMPUTER SOLUTION LLC,IT Services,IT hardware & solutions,High,Name-derived,1
AUTO VISION TRADING FZCO,Automotive Parts Trading,Auto parts trading,Medium,Name-derived,2
AUTOCAD CONSTRUCTION,Construction & Contracting,Contracting,Medium,Name-derived,1
AUTOCOM SPARE PARTS TRADING,Automotive Parts Trading,Vehicle spare parts & accessories,Medium,Name-derived,3
AUTOMECH ENGINEERING CO LLC,Equipment Maintenance,Automotive & mechanical engineering,High,Name-derived,6
AVANT INDUSTRIES LLC,Manufacturing,Industrial manufacturing,Low,Name-derived,2
AVGO MIDDLE EAST FZE,Consumer Electronics,Electronics / appliances distribution,Medium,Name-derived,2
AVIATION SERVICES MANAGEMENT FZE,Aviation,Aircraft management & support services,High,Name-derived,5
AW BIN SHABIB INVESTMENT LLC,Diversified Group,"Investment group - FMCG, industry & services",High,Name-derived,4
AWAWDEH AUTO SPARE PARTS,Automotive Parts Trading,Vehicle spare parts & accessories,Medium,Name-derived,2
AWS AVENUE COMPANY FOR TRADING,Trading & Distribution,General trading,Low,Name-derived,1
AWS DISTRIBUTION,Distribution,FMCG / consumer goods distribution,Medium,Name-derived,8
