Column1.PARTYMST_DESC,Industry,Sub-Industry / Activity,Confidence,Source
AAK MIDDLE EAST LLC,Manufacturing - Food,Edible oils & specialty fats (AAK group),High,Name-derived
AAK MIDDLE EAST LLC,Manufacturing - Food,Edible oils & specialty fats (AAK group),High,Name-derived
AAK MIDDLE EAST LLC,Manufacturing - Food,Edible oils & specialty fats (AAK group),High,Name-derived
AAK MIDDLE EAST LLC,Manufacturing - Food,Edible oils & specialty fats (AAK group),High,Name-derived
AAMAAL GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
AANACART,E-commerce,Online retail platform,Medium,Name-derived
AANACART,E-commerce,Online retail platform,Medium,Name-derived
AANACART,E-commerce,Online retail platform,Medium,Name-derived
ABCON INTERNATIONAL DRUG STORE LLC,Pharmaceuticals,Pharmaceutical distribution,High,Name-derived
ABDUL HAMID ABEDI CO. (L.L.C),Fresh Produce & Grocery,Inferred from sibling entity 'Gholami & Abedi Fruits & Vegetables Co.',Low,Web-verified
ABDUL WAHED AHMED BIN SHABIB TRADING CO.,Trading & Distribution,General trading & wholesale,Medium,Name-derived
ABDUL WAHED BIN SHABIB TRADING L.L.C,Trading & Distribution,General trading & wholesale,Medium,Name-derived
ABDUL WAHED BIN SHABIB TRADING L.L.C,Trading & Distribution,General trading & wholesale,Medium,Name-derived
ABDUL WAHED BIN SHABIB TRADING L.L.C,Trading & Distribution,General trading & wholesale,Medium,Name-derived
ABDUL WAHED BIN SHABIB TRADING L.L.C,Trading & Distribution,General trading & wholesale,Medium,Name-derived
ABDUL WAHED BIN SHABIB WHOLESALE AND TRADE CO. SPC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
ABDUL WAHED BIN SHABIB WHOLESALE AND TRADE CO. SPC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
ABDUL WAHED BIN SHABIB WHOLESALE AND TRADE CO. SPC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
ABDUL WAHED BIN SHABIB WHOLESALE AND TRADE CO. SPC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
ABDULLA AHMED AL AWAZI GENERAL TRADING CO. LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
ABDULLA AHMED ZAMINPIMA AWAZI CO LLC,Trading & Distribution,Inferred from sibling entity 'Abdulla Ahmed Al Awazi General Trading Co. LLC',Low,Web-verified
ABDULLA AL ARIF INVESTMENT,Investment & Holding,Investment company,Medium,Name-derived
ABDULLA AL ARIF INVESTMENT,Investment & Holding,Investment company,Medium,Name-derived
ABDULLA AL ARIF INVESTMENT,Investment & Holding,Investment company,Medium,Name-derived
ABDULLA AL ARIF INVESTMENT,Investment & Holding,Investment company,Medium,Name-derived
ABDULLA AL KHATTAL & ZAYED GENERAL TRADING,Trading & Distribution,General trading & wholesale,Medium,Name-derived
ABDULLA AL KHATTAL & ZAYED GENERAL TRADING,Trading & Distribution,General trading & wholesale,Medium,Name-derived
ABDULLA SAEEDI GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
ABDULLA SAEEDI GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
ABDULLA SAEEDI GENERAL TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
ABDULWAHED BIN SHABIB DISTRIBUTION (BR OF AW BIN SHABIB INVESTEMENT LLC),Distribution,Wholesale distribution,Medium,Name-derived
ABDULWAHED BIN SHABIB DISTRIBUTION FZCO,Distribution,Wholesale distribution,Medium,Name-derived
ABDULWAHED BIN SHABIB DISTRIBUTION SPC,Distribution,Wholesale distribution,Medium,Name-derived
ABDULWAHED BIN SHABIB DISTRIBUTION SPC,Distribution,Wholesale distribution,Medium,Name-derived
ABDULWAHED BIN SHABIB DISTRIBUTION SPC,Distribution,Wholesale distribution,Medium,Name-derived
ABDULWAHED BIN SHABIB DISTRIBUTION SPC,Distribution,Wholesale distribution,Medium,Name-derived
ABDULWAHED BIN SHABIB FOOD INDUSTRIES (BR OF AW BIN SHABIB INVESTMENT L.L.C),Manufacturing - Food,Food production,High,Name-derived
ABDULWAHED BIN SHABIB FOOD INDUSTRIES L.L.C,Manufacturing - Food,Food production,High,Name-derived
ABDULWAHED BIN SHABIB FOR DISTRIBUTION AND TRADE W.L.L,Distribution,Wholesale distribution,Medium,Name-derived
ABDULWAHED BIN SHABIB FOR DISTRIBUTION AND TRADE W.L.L,Distribution,Wholesale distribution,Medium,Name-derived
ABDULWAHED BIN SHABIB FOR DISTRIBUTION AND TRADE W.L.L,Distribution,Wholesale distribution,Medium,Name-derived
ABDULWAHED BIN SHABIB FOR DISTRIBUTION AND TRADE W.L.L,Distribution,Wholesale distribution,Medium,Name-derived
ABDULWAHED BIN SHABIB HOSPITALITIES (BR OF ABDULWAHED BIN SHABIB INVESTMENT GROUP L.L.C),Hospitality,Hospitality division of diversified group,High,Name-derived
ABDULWAHED BIN SHABIB HOSPITALITIES (BR OF ABDULWAHED BIN SHABIB INVESTMENT GROUP L.L.C),Hospitality,Hospitality division of diversified group,High,Name-derived
ABDULWAHED BIN SHABIB HOSPITALITIES (BR OF ABDULWAHED BIN SHABIB INVESTMENT GROUP L.L.C),Hospitality,Hospitality division of diversified group,High,Name-derived
ABDULWAHED BIN SHABIB HOSPITALITIES (BR OF ABDULWAHED BIN SHABIB INVESTMENT GROUP L.L.C),Hospitality,Hospitality division of diversified group,High,Name-derived
ABDULWAHED BIN SHABIB INDUSTRY FZ-LLC,Manufacturing,Industrial division of diversified group,Medium,Name-derived
ABDULWAHED BIN SHABIB INDUSTRY FZ-LLC,Manufacturing,Industrial division of diversified group,Medium,Name-derived
ABDULWAHED BIN SHABIB INDUSTRY FZ-LLC,Manufacturing,Industrial division of diversified group,Medium,Name-derived
ABDULWAHED BIN SHABIB INDUSTRY FZ-LLC,Manufacturing,Industrial division of diversified group,Medium,Name-derived
ABDULWAHED BIN SHABIB INVESTMENT GROUP L.L.C,Diversified Group,"Investment group - FMCG, industry & services",High,Name-derived
ABDULWAHED BIN SHABIB INVESTMENT GROUP L.L.C,Diversified Group,"Investment group - FMCG, industry & services",High,Name-derived
ABDULWAHED BIN SHABIB INVESTMENT GROUP L.L.C,Diversified Group,"Investment group - FMCG, industry & services",High,Name-derived
ABDULWAHED BIN SHABIB INVESTMENT GROUP L.L.C,Diversified Group,"Investment group - FMCG, industry & services",High,Name-derived
ABDULWAHED BIN SHABIB INVESTMENT GROUP L.L.C,Diversified Group,"Investment group - FMCG, industry & services",High,Name-derived
ABDULWAHED BIN SHABIB INVESTMENT GROUP L.L.C,Diversified Group,"Investment group - FMCG, industry & services",High,Name-derived
ABDULWAHED BIN SHABIB INVESTMENT GROUP LLC,Diversified Group,"Investment group - FMCG, industry & services",High,Name-derived
Abdulwahed Bin Shabib Security System (BR OF AW BIN SHABIB INVESTMENT L.L.C),Security Systems,Security systems division,High,Name-derived
Abdulwahed Bin Shabib Security System (BR OF AW BIN SHABIB INVESTMENT L.L.C),Security Systems,Security systems division,High,Name-derived
Abdulwahed Bin Shabib Security System (BR OF AW BIN SHABIB INVESTMENT L.L.C),Security Systems,Security systems division,High,Name-derived
Abdulwahed Bin Shabib Security System (BR OF AW BIN SHABIB INVESTMENT L.L.C),Security Systems,Security systems division,High,Name-derived
ABDULWAHED BIN SHABIB TRADING W.L.L,Trading & Distribution,General trading & wholesale,Medium,Name-derived
ABDULWAHED BIN SHABIB TRADING W.L.L,Trading & Distribution,General trading & wholesale,Medium,Name-derived
ABDULWAHED BIN SHABIB TRADING W.L.L,Trading & Distribution,General trading & wholesale,Medium,Name-derived
ABDULWAHED BIN SHABIB TRADING W.L.L,Trading & Distribution,General trading & wholesale,Medium,Name-derived
ABMAK QATAR WLL,Furniture & Interiors,"Furniture, furnishings & flooring for homes, offices & schools",High,Web-verified
ABMAK QATAR WLL,Furniture & Interiors,"Furniture, furnishings & flooring for homes, offices & schools",High,Web-verified
ABN SCAFFOLDING LLC,Construction Services,Scaffolding supply & erection,High,Name-derived
ABN SCAFFOLDING LLC,Construction Services,Scaffolding supply & erection,High,Name-derived
ABN SCAFFOLDING LLC,Construction Services,Scaffolding supply & erection,High,Name-derived
ABN SCAFFOLDING LLC,Construction Services,Scaffolding supply & erection,High,Name-derived
ABN SCAFFOLDING LLC,Construction Services,Scaffolding supply & erection,High,Name-derived
ABN SCAFFOLDING LLC,Construction Services,Scaffolding supply & erection,High,Name-derived
ABN SCAFFOLDING LLC,Construction Services,Scaffolding supply & erection,High,Name-derived
ABN SCAFFOLDING LLC,Construction Services,Scaffolding supply & erection,High,Name-derived
ABU DHABI OIL COMPANY LIMITED (JAPAN),Oil & Gas,Upstream E&P operator (ADOC),High,Name-derived
ABU DHABI OIL COMPANY LIMITED (JAPAN),Oil & Gas,Upstream E&P operator (ADOC),High,Name-derived
ABU DHABI OIL COMPANY LIMITED (JAPAN),Oil & Gas,Upstream E&P operator (ADOC),High,Name-derived
ABU DHABI OIL COMPANY LIMITED (JAPAN),Oil & Gas,Upstream E&P operator (ADOC),High,Name-derived
ABU DHABI OIL COMPANY LIMITED (JAPAN),Oil & Gas,Upstream E&P operator (ADOC),High,Name-derived
ABU DHABI OIL COMPANY LIMITED (JAPAN),Oil & Gas,Upstream E&P operator (ADOC),High,Name-derived
ABU DHABI OIL COMPANY LIMITED (JAPAN),Oil & Gas,Upstream E&P operator (ADOC),High,Name-derived
ABU DHABI OIL COMPANY LIMITED (JAPAN),Oil & Gas,Upstream E&P operator (ADOC),High,Name-derived
ABU DHABI OIL COMPANY LIMITED (JAPAN),Oil & Gas,Upstream E&P operator (ADOC),High,Name-derived
ABU DHABI OIL COMPANY LIMITED (JAPAN),Oil & Gas,Upstream E&P operator (ADOC),High,Name-derived
ABU DHABI OIL COMPANY LIMITED (JAPAN),Oil & Gas,Upstream E&P operator (ADOC),High,Name-derived
ABU DHABI OIL COMPANY LIMITED (JAPAN),Oil & Gas,Upstream E&P operator (ADOC),High,Name-derived
ABU DHABI OIL COMPANY LIMITED (JAPAN),Oil & Gas,Upstream E&P operator (ADOC),High,Name-derived
ABU DHABI OIL COMPANY LIMITED (JAPAN),Oil & Gas,Upstream E&P operator (ADOC),High,Name-derived
ABU DHABI OIL COMPANY LIMITED (JAPAN),Oil & Gas,Upstream E&P operator (ADOC),High,Name-derived
ABU DHABI OIL COMPANY LIMITED (JAPAN),Oil & Gas,Upstream E&P operator (ADOC),High,Name-derived
ABU DHABI PIPE FACTORY,Manufacturing - Building Products,Pipes manufacturing,High,Name-derived
ABU DHABI PIPE FACTORY,Manufacturing - Building Products,Pipes manufacturing,High,Name-derived
ABU HAIL FOODSTUFF TRADING,Food & Beverage Trading,Foodstuff trading,High,Name-derived
ABU SAYYAH EXPRESS CAFE & RESTAURANT L.L.C,Food Service,Cafe & restaurant,High,Name-derived
ABUSEEDO TRADING EST.,Trading & Distribution,General trading,Low,Name-derived
ABUSEEDO TRADING EST.,Trading & Distribution,General trading,Low,Name-derived
ABUSEEDO TRADING EST.,Trading & Distribution,General trading,Low,Name-derived
ABUWAFA VEG & FRUITS L.L.C,Fresh Produce & Grocery,Fruits & vegetables wholesale,Medium,Name-derived
ACORUS PHARMA LLC,Pharmaceuticals,Pharmaceutical distribution,High,Name-derived
ACORUS PHARMA LLC,Pharmaceuticals,Pharmaceutical distribution,High,Name-derived
ACORUS PHARMA LLC,Pharmaceuticals,Pharmaceutical distribution,High,Name-derived
ACTION BUILDERS CONSTRUCTION LLC,Construction & Contracting,Building & civil contracting,Medium,Name-derived
ADAM & EVE SPECIALIZED MEDICAL CENTRE LLC,Healthcare,Medical centre,High,Name-derived
ADANI GLOBAL FZE,Commodity Trading,Energy & resources trading (Adani group),High,Name-derived
ADANI GLOBAL FZE,Commodity Trading,Energy & resources trading (Adani group),High,Name-derived
ADANI GLOBAL FZE,Commodity Trading,Energy & resources trading (Adani group),High,Name-derived
ADANI GLOBAL FZE,Commodity Trading,Energy & resources trading (Adani group),High,Name-derived
ADANI GLOBAL FZE,Commodity Trading,Energy & resources trading (Adani group),High,Name-derived
ADANI GLOBAL FZE,Commodity Trading,Energy & resources trading (Adani group),High,Name-derived
ADANI GLOBAL FZE,Commodity Trading,Energy & resources trading (Adani group),High,Name-derived
ADANI GLOBAL FZE,Commodity Trading,Energy & resources trading (Adani group),High,Name-derived
ADVANCED EXPEDITION VEHICLES,Manufacturing - Automotive,Specialist vehicle conversion,High,Name-derived
ADVANCED INTEGRATION TECHNOLOGIES SP LLC,Industrial Automation,Systems integration,High,Name-derived
ADVANCED INTEGRATION TECHNOLOGIES SP LLC,Industrial Automation,Systems integration,High,Name-derived
ADVANCED INTEGRATION TECHNOLOGIES SP LLC,Industrial Automation,Systems integration,High,Name-derived
AERODUCT INDUSTRIES L.L.C,Manufacturing - HVAC,Air ducting systems,High,Name-derived
AERODUCT INDUSTRIES L.L.C,Manufacturing - HVAC,Air ducting systems,High,Name-derived
AERODUCT INDUSTRIES L.L.C,Manufacturing - HVAC,Air ducting systems,High,Name-derived
AERODUCT INDUSTRIES L.L.C,Manufacturing - HVAC,Air ducting systems,High,Name-derived
AESTHETIX TECHNOLOGIES LLC,Medical & Diagnostics,Aesthetic medical devices,High,Name-derived
AESTHETIX TECHNOLOGIES LLC,Medical & Diagnostics,Aesthetic medical devices,High,Name-derived
AESTHETIX TECHNOLOGIES LLC,Medical & Diagnostics,Aesthetic medical devices,High,Name-derived
AESTHETIX TECHNOLOGIES LLC,Medical & Diagnostics,Aesthetic medical devices,High,Name-derived
AESTHETIX TECHNOLOGIES LLC,Medical & Diagnostics,Aesthetic medical devices,High,Name-derived
AESTHETIX TECHNOLOGIES LLC,Medical & Diagnostics,Aesthetic medical devices,High,Name-derived
AESTHETIX TECHNOLOGIES LLC,Medical & Diagnostics,Aesthetic medical devices,High,Name-derived
AFRAH TOBACCO & CIGARETTES FACTORY FZ LLC,Manufacturing - Tobacco,Cigarette manufacturing,High,Name-derived
AFRAH TOBACCO & CIGARETTES FACTORY FZ LLC,Manufacturing - Tobacco,Cigarette manufacturing,High,Name-derived
AFRAH TOBACCO & CIGARETTES FACTORY FZ LLC,Manufacturing - Tobacco,Cigarette manufacturing,High,Name-derived
AFRAH TOBACCO & CIGARETTES FACTORY FZ LLC,Manufacturing - Tobacco,Cigarette manufacturing,High,Name-derived
AFRAH TOBACCO & CIGARETTES FACTORY FZ LLC,Manufacturing - Tobacco,Cigarette manufacturing,High,Name-derived
AFRAH TOBACCO & CIGARETTES FACTORY FZ LLC,Manufacturing - Tobacco,Cigarette manufacturing,High,Name-derived
AFRAH TOBACCO & CIGARETTES FACTORY FZ LLC,Manufacturing - Tobacco,Cigarette manufacturing,High,Name-derived
AFRAH TOBACCO & CIGARETTES FACTORY FZ LLC,Manufacturing - Tobacco,Cigarette manufacturing,High,Name-derived
AFRIEXPO FZE,Trading & Distribution,Africa-focused export trading,Medium,Name-derived
AFRY SWITZERLAND LTD- DUBAI BRANCH,Engineering Consultancy,Infrastructure / energy consulting (AFRY),High,Name-derived
AFRY SWITZERLAND LTD- DUBAI BRANCH,Engineering Consultancy,Infrastructure / energy consulting (AFRY),High,Name-derived
AFRY SWITZERLAND LTD- DUBAI BRANCH,Engineering Consultancy,Infrastructure / energy consulting (AFRY),High,Name-derived
AG AUTO TRADING L.L.C,Automotive Retail,Vehicle trading,Medium,Name-derived
AG AUTO TRADING L.L.C,Automotive Retail,Vehicle trading,Medium,Name-derived
AG AUTO TRADING L.L.C,Automotive Retail,Vehicle trading,Medium,Name-derived
AG AUTO TRADING L.L.C,Automotive Retail,Vehicle trading,Medium,Name-derived
AG CORPORATION FZE,Fire & Safety,Safety equipment & PPE supply to oil & gas,High,Web-verified
AG CORPORATION FZE,Fire & Safety,Safety equipment & PPE supply to oil & gas,High,Web-verified
AG CORPORATION FZE,Fire & Safety,Safety equipment & PPE supply to oil & gas,High,Web-verified
AGILE MEDICAL SUPPLIES PVT. LTD.,Medical Supplies,Medical supplies,High,Name-derived
AGRI FRESH FOODSTUFF TRADING LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived
AGRI FRESH FOODSTUFF TRADING LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived
AGRI FRESH FOODSTUFF TRADING LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived
AGRI FRESH FOODSTUFF TRADING LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived
AGRI FRESH FOODSTUFF TRADING LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived
AGRI FRESH FOODSTUFF TRADING LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived
AHMAD INDUSTRIES LLC,Manufacturing,Industrial manufacturing,Low,Name-derived
AHMAD OBAID SHIPPING LLC,Shipping,Shipping services,High,Name-derived
AHMED AL MAGHREBI PERFUME MANUF LLC,Manufacturing - Cosmetics,Perfume manufacturing,High,Name-derived
AHMED AL MAGHREBI PERFUME MANUF LLC,Manufacturing - Cosmetics,Perfume manufacturing,High,Name-derived
AHMED AL MAGHREBI PERFUME MANUF LLC,Manufacturing - Cosmetics,Perfume manufacturing,High,Name-derived
AHMED REZA TRADING CO.,Trading & Distribution,General trading,Low,Name-derived
AHMED REZA TRADING CO.,Trading & Distribution,General trading,Low,Name-derived
AJMAN ACADEMY,Education,K-12 private school,High,Name-derived
AL AHD GENERAL CONTRACTING & MAINTENANCE COMPANY LLC,Construction & Contracting,Building & civil contracting,Medium,Name-derived
AL AJDAN GROUP,Diversified Group,Diversified group,Low,Name-derived
AL AJDAN GROUP,Diversified Group,Diversified group,Low,Name-derived
AL AJM TRADING LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
AL AMAL GENERAL TRADING,Trading & Distribution,General trading & wholesale,Medium,Name-derived
AL AMAL GENERAL TRADING,Trading & Distribution,General trading & wholesale,Medium,Name-derived
AL AMAL GENERAL TRADING,Trading & Distribution,General trading & wholesale,Medium,Name-derived
AL AMAL GENERAL TRADING,Trading & Distribution,General trading & wholesale,Medium,Name-derived
AL AMANA MOTORS ZONE FOR TYRE FIXING & WHEEL ALIGNMENT SERVICES CO. L.L.C,Automotive Services,Tyres & wheel alignment,High,Name-derived
AL AMANA MOTORS ZONE FOR TYRE FIXING & WHEEL ALIGNMENT SERVICES CO. L.L.C,Automotive Services,Tyres & wheel alignment,High,Name-derived
AL AMIN FRESH FRUITS,Fresh Produce & Grocery,Fruits wholesale,High,Name-derived
AL ANQAA ROADS MAINTENTENCE CONTRACTING LLC,Construction & Contracting,Building & civil contracting,Medium,Name-derived
AL ANQAA ROADS MAINTENTENCE CONTRACTING LLC,Construction & Contracting,Building & civil contracting,Medium,Name-derived
AL AQARIYA GROUP ( REAL ESTATE TV),Media & Entertainment,Real estate TV / media,High,Name-derived
AL ARAB FOODSTUFF TRADING LLC,Food & Beverage Trading,Foodstuff wholesale & distribution,Medium,Name-derived
AL AREEN INDUSTRIES,Manufacturing,Industrial manufacturing,Low,Name-derived
AL AREEN TRADING CO. LLC,Trading & Distribution,General trading,Low,Name-derived
AL ASEEL EGGS TRADING,Fresh Produce & Grocery,Eggs wholesale,High,Name-derived
AL AWALI TRADING CO LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
AL AWALI TRADING CO LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
AL AWALI TRADING CO LLC,Trading & Distribution,General trading & wholesale,Medium,Name-derived
AL BAHRAIN JEWELLERS LLC,Jewellery & Precious Metals,Jewellery retail,High,Name-derived
AL BASRA ELECTRICAL & SANITARY CONT. L.L.C.,MEP & Electromechanical,Electrical & plumbing contracting,High,Name-derived
AL BASRA ELECTRICAL & SANITARY CONT. L.L.C.,MEP & Electromechanical,Electrical & plumbing contracting,High,Name-derived
AL BASRA ELECTROMECHANICAL LLC,MEP & Electromechanical,MEP contracting,High,Name-derived
AL BORJ PLASTIC INDUSTRIES COMPANY LLC,Manufacturing - Plastics,Plastic products,High,Name-derived
AL BORJ PLASTIC INDUSTRIES COMPANY LLC,Manufacturing - Plastics,Plastic products,High,Name-derived
AL BORJ PLASTIC INDUSTRIES COMPANY LLC,Manufacturing - Plastics,Plastic products,High,Name-derived
AL BORJ PLASTIC INDUSTRIES COMPANY LLC,Manufacturing - Plastics,Plastic products,High,Name-derived
AL BORJ PLASTIC INDUSTRIES COMPANY LLC,Manufacturing - Plastics,Plastic products,High,Name-derived
AL BORJ PLASTIC INDUSTRIES COMPANY LLC,Manufacturing - Plastics,Plastic products,High,Name-derived
AL BORJ PLASTIC INDUSTRIES COMPANY LLC,Manufacturing - Plastics,Plastic products,High,Name-derived
AL BORJ PLASTIC INDUSTRIES COMPANY LLC,Manufacturing - Plastics,Plastic products,High,Name-derived
AL BORJ PLASTIC INDUSTRIES COMPANY LLC,Manufacturing - Plastics,Plastic products,High,Name-derived
AL BWARDY TECHNICAL & INDUSTRIAL L.L.C,Engineering Services,Technical & industrial services,High,Name-derived
AL BWARDY TECHNICAL & INDUSTRIAL L.L.C,Engineering Services,Technical & industrial services,High,Name-derived
AL BWARDY TECHNICAL & INDUSTRIAL L.L.C,Engineering Services,Technical & industrial services,High,Name-derived
AL BWARDY TECHNICAL & INDUSTRIAL LLC,Engineering Services,Technical & industrial services,High,Name-derived
AL BWARDY TECHNICAL & INDUSTRIAL LLC,Engineering Services,Technical & industrial services,High,Name-derived
AL BWARDY TECHNICAL & INDUSTRIAL LLC,Engineering Services,Technical & industrial services,High,Name-derived
AL DHIYAFA INTERIORS LLC,Fit-Out & Joinery,Interior fit-out,High,Name-derived
AL DHIYAFA INTERIORS LLC,Fit-Out & Joinery,Interior fit-out,High,Name-derived
AL DHIYAFA INTERIORS LLC,Fit-Out & Joinery,Interior fit-out,High,Name-derived
AL DHIYAFA INTERIORS LLC,Fit-Out & Joinery,Interior fit-out,High,Name-derived
AL DIYAR AL MOTAQADIMAH VEGETABLES & FRUITS,Fresh Produce & Grocery,Fruits & vegetables wholesale,Medium,Name-derived
AL DIYAR AL MOTAQADIMAH VEGETABLES & FRUITS,Fresh Produce & Grocery,Fruits & vegetables wholesale,Medium,Name-derived
AL DIYAR AL MOTAQADIMAH VEGETABLES & FRUITS,Fresh Produce & Grocery,Fruits & vegetables wholesale,Medium,Name-derived
AL EKHA BUILDING MATERIALS TRADING,Building Materials Trading,Building materials & sanitaryware,Medium,Name-derived
AL ETIHAD GOLD REFINERY DMCC,Jewellery & Precious Metals,Gold refining,High,Name-derived
AL ETIHAD GOLD REFINERY DMCC,Jewellery & Precious Metals,Gold refining,High,Name-derived
AL ETIHAD GOLD REFINERY DMCC,Jewellery & Precious Metals,Gold refining,High,Name-derived
AL ETIHAD GOLD REFINERY DMCC,Jewellery & Precious Metals,Gold refining,High,Name-derived
AL ETIHAD GOLD REFINERY DMCC,Jewellery & Precious Metals,Gold refining,High,Name-derived
AL ETIHAD GOLD REFINERY DMCC,Jewellery & Precious Metals,Gold refining,High,Name-derived
AL FARAH CONTRACTING AND GENERAL TRANSPORT COMPANY  LLC,Freight Transport,Road transport & haulage,Medium,Name-derived
AL FARAH CONTRACTING AND GENERAL TRANSPORT COMPANY  LLC,Freight Transport,Road transport & haulage,Medium,Name-derived
AL FATTAN ENGINEERING L. L. C,Engineering Services,Engineering & contracting,Medium,Name-derived
AL FIKREE LEISURE LLC,Entertainment & Leisure,Leisure & marine activities,Medium,Name-derived
AL FINDI & PARTNERS,Unclassified,No industry signal in the name,Low,Name-derived
AL GHAITH CHEMICAL INDUSTRIES LLC,Manufacturing - Chemicals,Chemical products,High,Name-derived
AL GHAITH INDUSTRIES LLC,Manufacturing,Industrial manufacturing,Medium,Name-derived
AL GHAITH INDUSTRIES LLC,Manufacturing,Industrial manufacturing,Medium,Name-derived
AL GUTAIL TRADING EST.,Trading & Distribution,General trading,Low,Name-derived
